Order Id,Time Of Order,Item Ordered,Quantity,Amount,Location,Delivery Time
180,11/9/2023,C,1,20,Accra,157
181,26/05/2023,A,2,40,Accra,150
182,10/8/2023,A,13,260,Kaneshie,60
183,7/2/2023,E,18,360,East-Legon,85
184,21/02/2023,B,10,200,Dansoman,315
185,27/05/2023,D,13,260,Dansoman,329
186,21/05/2023,C,18,360,East-Legon,431
187,27/08/2023,C,19,380,Malllam,116
188,12/4/2023,E,7,140,East-Legon,83
189,9/7/2023,E,1,20,Malllam,496
190,24/07/2023,D,8,160,Dansoman,256
191,3/9/2023,A,18,360,Accra,65
192,29/09/2023,D,19,380,Kaneshie,432
193,26/03/2023,E,7,140,Accra,443
194,23/12/2023,E,7,140,East-Legon,359
195,14/11/2023,B,16,320,Accra,315
196,21/12/2023,E,20,400,Kaneshie,98
197,16/04/2023,C,6,120,Malllam,140
198,11/4/2023,B,19,380,Malllam,45
199,30/01/2023,C,18,360,East-Legon,435
200,10/3/2023,B,18,360,Kaneshie,232
201,20/05/2023,C,7,140,East-Legon,324
202,27/05/2023,B,11,220,Accra,152
203,24/10/2023,C,5,100,East-Legon,448
204,7/9/2023,C,13,260,Kaneshie,193
205,22/04/2023,A,7,140,East-Legon,312
206,21/02/2023,E,18,360,Dansoman,192
207,13/03/2023,E,2,40,East-Legon,249
208,12/2/2023,E,8,160,East-Legon,210
209,16/03/2023,D,16,320,East-Legon,473
210,23/03/2023,A,9,180,East-Legon,115
211,28/12/2023,C,15,300,East-Legon,488
212,20/09/2023,A,12,240,East-Legon,81
213,22/05/2023,A,3,60,Dansoman,454
214,29/05/2023,C,19,380,Dansoman,78
215,16/10/2023,A,8,160,East-Legon,115
216,25/01/2023,C,15,300,East-Legon,99
217,10/6/2023,D,16,320,Accra,483
218,15/01/2023,E,8,160,Malllam,283
219,23/06/2023,A,16,320,Malllam,500
220,22/11/2023,E,11,220,Kaneshie,121
221,4/9/2023,C,6,120,Dansoman,140
222,11/1/2023,D,3,60,Malllam,375
223,6/1/2023,B,2,40,East-Legon,70
224,3/6/2023,E,3,60,East-Legon,456
225,23/08/2023,E,20,400,Accra,445
226,8/11/2023,A,9,180,Malllam,478
227,29/06/2023,A,7,140,Kaneshie,372
228,9/12/2023,B,4,80,Dansoman,200
229,20/07/2023,B,2,40,Malllam,346
230,19/04/2023,C,9,180,Malllam,371
231,7/10/2023,C,14,280,Accra,196
232,19/06/2023,A,20,400,East-Legon,432
233,23/09/2023,E,8,160,Malllam,361
234,30/03/2023,B,16,320,Kaneshie,392
235,19/07/2023,A,9,180,Malllam,397
236,11/6/2023,C,3,60,Dansoman,352
237,14/09/2023,B,18,360,Kaneshie,378
238,16/09/2023,D,16,320,Malllam,273
239,5/11/2023,E,10,200,Malllam,381
240,9/9/2023,C,16,320,Kaneshie,244
241,25/02/2023,D,8,160,Dansoman,465
242,6/2/2023,D,5,100,Kaneshie,462
243,11/6/2023,E,7,140,Accra,490
244,16/07/2023,A,20,400,Kaneshie,38
245,2/7/2023,A,1,20,Malllam,106
246,31/03/2023,C,10,200,Malllam,307
247,23/06/2023,C,13,260,Kaneshie,327
248,1/1/2023,A,10,200,Malllam,36
249,13/01/2023,D,16,320,Malllam,470
250,5/7/2023,E,2,40,East-Legon,376
251,7/1/2023,D,13,260,Dansoman,262
252,19/04/2023,E,1,20,Accra,362
253,29/04/2023,C,3,60,Dansoman,197
254,11/11/2023,D,1,20,Malllam,354
255,22/03/2023,D,16,320,Accra,353
256,31/10/2023,E,11,220,Kaneshie,190
257,31/05/2023,A,8,160,Accra,121
258,4/1/2023,E,16,320,Kaneshie,138
259,31/08/2023,B,12,240,Accra,373
260,5/11/2023,A,17,340,Dansoman,164
261,4/11/2023,A,3,60,Kaneshie,307
262,10/1/2023,A,3,60,East-Legon,187
263,23/10/2023,C,14,280,Dansoman,81
264,2/12/2023,E,16,320,Accra,353
265,23/10/2023,C,9,180,Malllam,383
266,16/05/2023,B,10,200,Malllam,351
267,29/12/2023,D,7,140,East-Legon,193
268,11/1/2023,A,14,280,Accra,187
269,27/05/2023,D,14,280,Accra,443
270,6/4/2023,D,12,240,East-Legon,301
271,30/03/2023,A,16,320,Accra,338
272,11/2/2023,E,19,380,East-Legon,303
273,10/3/2023,C,11,220,Malllam,222
274,9/2/2023,A,5,100,Malllam,473
275,20/07/2023,C,4,80,Malllam,353
276,22/08/2023,C,6,120,Accra,425
277,18/06/2023,C,5,100,Malllam,469
278,17/07/2023,C,4,80,Dansoman,298
279,30/07/2023,C,20,400,East-Legon,258
280,17/10/2023,C,6,120,Accra,97
281,19/08/2023,A,16,320,East-Legon,457
282,28/05/2023,A,5,100,Dansoman,157
283,14/03/2023,C,5,100,Malllam,286
284,27/09/2023,D,9,180,East-Legon,336
285,20/02/2023,B,9,180,Malllam,381
286,30/08/2023,B,12,240,East-Legon,148
287,27/01/2023,C,3,60,Malllam,165
288,25/01/2023,A,16,320,Accra,162
289,8/4/2023,D,1,20,Dansoman,305
290,1/2/2023,A,17,340,Accra,64
291,24/09/2023,B,15,300,Accra,401
292,12/1/2023,E,12,240,East-Legon,58
293,24/12/2023,E,17,340,Kaneshie,137
294,27/04/2023,D,1,20,Accra,169
295,29/12/2023,E,11,220,East-Legon,425
296,14/08/2023,D,15,300,Accra,320
297,7/11/2023,C,16,320,Dansoman,115
298,22/05/2023,D,1,20,East-Legon,386
299,18/07/2023,E,9,180,Malllam,56
300,10/7/2023,C,20,400,East-Legon,292
301,24/09/2023,B,14,280,East-Legon,30
302,28/12/2023,D,17,340,Accra,53
303,28/08/2023,B,11,220,Malllam,322
304,8/4/2023,B,3,60,Malllam,344
305,4/1/2023,C,7,140,Kaneshie,218
306,25/11/2023,E,18,360,Dansoman,392
307,21/10/2023,D,14,280,Dansoman,425
308,21/04/2023,A,14,280,Dansoman,354
309,13/08/2023,E,17,340,Dansoman,288
310,21/08/2023,D,18,360,Kaneshie,295
311,5/1/2023,D,18,360,Dansoman,212
312,11/11/2023,B,16,320,Dansoman,65
313,8/10/2023,A,1,20,Kaneshie,165
314,10/8/2023,E,13,260,Accra,455
315,1/2/2023,E,13,260,Kaneshie,289
316,12/8/2023,C,13,260,Kaneshie,403
317,9/11/2023,C,17,340,Accra,107
318,21/05/2023,A,10,200,Dansoman,155
319,25/03/2023,B,11,220,East-Legon,402
320,15/09/2023,B,6,120,Kaneshie,162
321,17/02/2023,B,11,220,East-Legon,358
322,26/10/2023,B,11,220,East-Legon,60
323,18/09/2023,D,10,200,East-Legon,32
324,29/01/2023,C,6,120,Dansoman,361
325,29/05/2023,C,1,20,East-Legon,117
326,25/08/2023,C,6,120,East-Legon,374
327,17/08/2023,D,7,140,East-Legon,250
328,8/5/2023,C,2,40,Kaneshie,305
329,28/10/2023,D,3,60,Dansoman,309
330,2/11/2023,B,11,220,Malllam,280
331,31/07/2023,C,8,160,Kaneshie,273
332,27/04/2023,C,4,80,East-Legon,379
333,31/03/2023,A,10,200,Dansoman,376
334,28/02/2023,E,12,240,East-Legon,393
335,12/1/2023,B,15,300,Accra,62
336,29/06/2023,D,7,140,Accra,373
337,28/08/2023,C,5,100,Kaneshie,241
338,16/07/2023,B,11,220,Malllam,463
339,19/10/2023,C,12,240,Dansoman,300
340,31/12/2023,B,6,120,Malllam,320
341,25/08/2023,E,11,220,East-Legon,281
342,17/06/2023,C,10,200,East-Legon,329
343,26/11/2023,A,1,20,Malllam,494
344,23/09/2023,B,8,160,East-Legon,413
345,21/09/2023,E,20,400,Dansoman,206
346,18/11/2023,A,1,20,Accra,137
347,22/11/2023,D,18,360,Dansoman,126
348,16/07/2023,B,15,300,East-Legon,395
349,22/06/2023,C,8,160,Dansoman,493
350,12/12/2023,E,17,340,Kaneshie,109
351,16/11/2023,C,2,40,Dansoman,144
352,19/09/2023,E,2,40,Accra,469
353,28/02/2023,A,13,260,East-Legon,175
354,2/4/2023,B,4,80,Malllam,378
355,7/3/2023,E,17,340,Accra,273
356,16/05/2023,C,3,60,Dansoman,370
357,17/06/2023,B,11,220,Malllam,464
358,3/4/2023,A,17,340,Dansoman,459
359,7/5/2023,D,1,20,Kaneshie,378
360,25/08/2023,A,3,60,Accra,341
361,22/10/2023,A,9,180,Accra,349
362,20/01/2023,A,18,360,Dansoman,374
363,28/06/2023,B,11,220,Malllam,479
364,26/03/2023,A,15,300,Malllam,95
365,6/10/2023,C,14,280,Kaneshie,73
366,24/12/2023,D,3,60,Kaneshie,151
367,27/09/2023,E,5,100,Kaneshie,58
368,9/2/2023,A,4,80,Accra,170
369,19/05/2023,D,11,220,Dansoman,275
370,22/07/2023,B,10,200,Malllam,402
371,17/08/2023,E,15,300,Malllam,296
372,21/01/2023,D,16,320,Malllam,258
373,16/08/2023,A,13,260,Kaneshie,50
374,1/10/2023,D,6,120,Malllam,197
375,11/11/2023,B,15,300,Kaneshie,264
376,13/07/2023,A,5,100,Malllam,213
377,2/2/2023,C,11,220,Malllam,348
378,19/07/2023,A,16,320,Dansoman,161
379,12/3/2023,C,9,180,Malllam,338
380,27/06/2023,D,19,380,Accra,448
381,6/6/2023,C,12,240,Malllam,317
382,31/10/2023,B,2,40,Dansoman,120
383,29/09/2023,D,20,400,East-Legon,187
384,21/02/2023,E,20,400,Malllam,150
385,23/10/2023,A,1,20,Malllam,426
386,7/11/2023,D,18,360,East-Legon,88
387,29/05/2023,E,6,120,Accra,318
388,30/07/2023,A,18,360,Accra,374
389,18/09/2023,E,10,200,Accra,245
390,16/07/2023,E,9,180,Dansoman,110
391,21/11/2023,B,5,100,East-Legon,269
392,7/6/2023,A,9,180,Malllam,441
393,22/06/2023,D,7,140,East-Legon,303
394,26/10/2023,C,18,360,Malllam,370
395,31/03/2023,C,18,360,Malllam,286
396,15/10/2023,E,5,100,Malllam,291
397,14/09/2023,C,2,40,East-Legon,370
398,1/2/2023,A,17,340,Kaneshie,278
399,8/1/2023,C,7,140,East-Legon,185
400,24/09/2023,D,8,160,Kaneshie,82
401,19/04/2023,B,9,180,East-Legon,85
402,5/12/2023,D,5,100,Dansoman,456
403,13/10/2023,A,19,380,Dansoman,316
404,3/3/2023,E,13,260,East-Legon,242
405,29/11/2023,D,1,20,Accra,94
406,10/4/2023,A,8,160,Dansoman,165
407,26/05/2023,D,17,340,Accra,423
408,14/02/2023,E,5,100,Malllam,491
409,2/7/2023,D,20,400,East-Legon,469
410,18/05/2023,D,3,60,Dansoman,410
411,2/12/2023,C,11,220,Kaneshie,190
412,18/08/2023,D,17,340,Dansoman,251
413,26/10/2023,C,10,200,Malllam,446
414,18/06/2023,A,10,200,Dansoman,155
415,27/01/2023,C,1,20,Accra,44
416,2/12/2023,A,7,140,Malllam,241
417,4/1/2023,B,1,20,Malllam,414
418,27/05/2023,A,8,160,Kaneshie,256
419,18/10/2023,A,13,260,East-Legon,435
420,19/04/2023,C,18,360,Dansoman,479
421,11/4/2023,D,1,20,Kaneshie,235
422,25/12/2023,B,20,400,East-Legon,221
423,13/05/2023,E,14,280,Kaneshie,409
424,24/02/2023,B,4,80,Dansoman,383
425,8/7/2023,B,10,200,Malllam,94
426,15/11/2023,A,16,320,Kaneshie,328
427,22/07/2023,B,17,340,Kaneshie,101
428,15/05/2023,C,13,260,Malllam,128
429,28/03/2023,C,6,120,Malllam,165
430,26/11/2023,E,20,400,Kaneshie,148
431,28/01/2023,B,20,400,Accra,319
432,11/3/2023,D,8,160,Kaneshie,132
433,26/06/2023,C,18,360,East-Legon,158
434,15/05/2023,D,11,220,Accra,269
435,1/2/2023,C,11,220,East-Legon,44
436,30/09/2023,D,2,40,Malllam,129
437,20/07/2023,C,18,360,Accra,84
438,7/2/2023,C,18,360,Dansoman,467
439,23/11/2023,E,6,120,East-Legon,60
440,9/4/2023,B,17,340,Kaneshie,245
441,16/04/2023,B,3,60,Dansoman,465
442,6/11/2023,B,18,360,Kaneshie,353
443,25/05/2023,C,12,240,East-Legon,352
444,2/4/2023,E,17,340,East-Legon,227
445,4/8/2023,E,10,200,Kaneshie,44
446,13/04/2023,A,18,360,Kaneshie,120
447,4/7/2023,A,14,280,Kaneshie,499
448,26/10/2023,B,1,20,Kaneshie,163
449,27/03/2023,E,20,400,Dansoman,436
450,17/04/2023,C,8,160,Malllam,489
451,6/3/2023,C,19,380,Kaneshie,143
452,14/01/2023,C,10,200,Dansoman,198
453,29/05/2023,A,3,60,East-Legon,205
454,6/4/2023,A,3,60,Kaneshie,440
455,13/06/2023,D,10,200,Dansoman,197
456,4/10/2023,C,1,20,Malllam,292
457,27/05/2023,D,3,60,Dansoman,178
458,22/10/2023,C,10,200,Accra,426
459,16/05/2023,B,11,220,Dansoman,497
460,10/9/2023,C,3,60,Malllam,331
461,15/10/2023,C,13,260,Malllam,54
462,20/09/2023,A,7,140,Dansoman,266
463,17/12/2023,B,7,140,Dansoman,401
464,22/11/2023,A,3,60,Dansoman,57
465,17/01/2023,A,7,140,Dansoman,294
466,16/08/2023,B,7,140,Kaneshie,138
467,8/5/2023,B,19,380,East-Legon,35
468,22/02/2023,A,4,80,East-Legon,331
469,27/09/2023,E,14,280,Dansoman,461
470,21/10/2023,C,11,220,Dansoman,423
471,2/8/2023,D,9,180,Malllam,142
472,3/11/2023,C,10,200,Accra,215
473,27/04/2023,B,19,380,Malllam,374
474,15/12/2023,A,19,380,East-Legon,395
475,18/12/2023,B,18,360,Accra,239
476,26/12/2023,A,2,40,East-Legon,370
477,29/06/2023,B,12,240,Malllam,146
478,12/4/2023,D,20,400,Kaneshie,348
479,11/6/2023,C,20,400,Accra,368
480,15/10/2023,D,1,20,East-Legon,430
481,12/3/2023,E,16,320,Accra,337
482,15/09/2023,D,14,280,East-Legon,379
483,29/12/2023,D,10,200,Dansoman,473
484,3/1/2023,D,17,340,Kaneshie,335
485,26/11/2023,D,5,100,Dansoman,414
486,18/12/2023,A,5,100,Accra,431
487,28/11/2023,B,5,100,East-Legon,183
488,6/12/2023,D,11,220,Accra,409
489,1/2/2023,A,5,100,Dansoman,489
490,26/04/2023,D,18,360,Kaneshie,349
491,6/1/2023,D,2,40,Malllam,496
492,17/05/2023,C,17,340,Kaneshie,75
493,28/12/2023,D,4,80,Dansoman,362
494,16/09/2023,C,13,260,Accra,65
495,10/8/2023,E,7,140,Accra,494
496,13/11/2023,C,16,320,Kaneshie,330
497,22/05/2023,A,15,300,Kaneshie,301
498,15/10/2023,C,9,180,Accra,90
499,3/12/2023,E,17,340,Accra,454
500,25/06/2023,B,14,280,Accra,89
501,25/07/2023,A,19,380,East-Legon,193
502,27/03/2023,A,19,380,Dansoman,380
503,12/1/2023,B,14,280,Accra,444
504,29/12/2023,D,16,320,Malllam,441
505,5/6/2023,C,6,120,Accra,448
506,30/06/2023,B,6,120,Malllam,73
507,11/4/2023,D,1,20,Dansoman,238
508,14/07/2023,E,9,180,East-Legon,256
509,22/10/2023,E,20,400,Malllam,186
510,13/10/2023,C,4,80,Accra,290
511,17/09/2023,A,4,80,Dansoman,234
512,30/08/2023,D,12,240,Dansoman,239
513,11/6/2023,C,2,40,Accra,218
514,11/8/2023,A,6,120,Kaneshie,174
515,7/5/2023,B,20,400,Malllam,232
516,30/05/2023,B,9,180,Accra,403
517,13/05/2023,E,4,80,Accra,175
518,3/5/2023,D,18,360,East-Legon,75
519,6/6/2023,C,19,380,Kaneshie,264
520,12/1/2023,B,12,240,Malllam,62
521,7/12/2023,E,17,340,Accra,241
522,30/05/2023,E,4,80,Malllam,94
523,3/4/2023,D,9,180,Accra,417
524,25/05/2023,C,11,220,Accra,46
525,5/9/2023,D,4,80,Kaneshie,298
526,30/04/2023,A,10,200,Accra,466
527,18/05/2023,A,14,280,Accra,66
528,21/08/2023,C,6,120,Accra,336
529,29/10/2023,D,11,220,Dansoman,460
530,17/11/2023,A,16,320,Malllam,46
531,8/11/2023,C,1,20,Dansoman,170
532,27/09/2023,B,18,360,Malllam,386
533,21/02/2023,D,9,180,Kaneshie,60
534,24/06/2023,D,14,280,Accra,376
535,19/10/2023,B,7,140,Dansoman,245
536,7/1/2023,C,12,240,East-Legon,377
537,15/02/2023,D,3,60,Kaneshie,471
538,21/11/2023,B,3,60,Accra,334
539,10/5/2023,E,13,260,Dansoman,423
540,12/10/2023,B,10,200,East-Legon,349
541,31/08/2023,D,5,100,Dansoman,498
542,17/08/2023,D,4,80,Malllam,389
543,7/2/2023,C,7,140,Malllam,105
544,27/11/2023,D,11,220,Dansoman,428
545,25/10/2023,E,17,340,Malllam,452
546,13/04/2023,B,17,340,Kaneshie,341
547,3/10/2023,A,12,240,Kaneshie,363
548,11/3/2023,E,2,40,Accra,151
549,6/4/2023,A,12,240,Kaneshie,391
550,18/12/2023,B,10,200,East-Legon,393
551,26/12/2023,C,12,240,Dansoman,420
552,17/01/2023,A,17,340,East-Legon,169
553,14/12/2023,C,10,200,Malllam,379
554,4/3/2023,E,6,120,Accra,120
555,2/8/2023,B,7,140,Dansoman,291
556,23/05/2023,E,19,380,Accra,211
557,26/06/2023,B,6,120,Malllam,434
558,15/12/2023,D,10,200,Accra,213
559,22/11/2023,E,5,100,Accra,485
560,18/02/2023,D,16,320,Accra,395
561,10/8/2023,B,4,80,Dansoman,141
562,16/03/2023,D,13,260,Kaneshie,89
563,2/7/2023,A,13,260,Dansoman,155
564,19/09/2023,D,3,60,Accra,496
565,12/3/2023,B,6,120,Kaneshie,357
566,2/8/2023,D,7,140,Accra,213
567,21/01/2023,C,1,20,Malllam,68
568,16/02/2023,E,3,60,Dansoman,93
569,15/02/2023,A,7,140,Malllam,276
570,30/09/2023,D,9,180,Malllam,85
571,23/12/2023,D,15,300,Malllam,359
572,10/6/2023,B,15,300,Kaneshie,374
573,21/12/2023,D,1,20,Malllam,134
574,29/09/2023,A,1,20,East-Legon,319
575,20/10/2023,C,9,180,Malllam,320
576,11/5/2023,A,11,220,Accra,131
577,5/4/2023,B,13,260,Accra,428
578,12/4/2023,B,3,60,Dansoman,489
579,15/09/2023,D,11,220,Malllam,150
580,31/10/2023,D,8,160,Malllam,296
581,10/10/2023,D,8,160,Malllam,134
582,25/08/2023,E,19,380,Dansoman,384
583,1/7/2023,C,9,180,Malllam,50
584,6/10/2023,E,9,180,Dansoman,364
585,30/05/2023,D,13,260,Malllam,471
586,19/04/2023,E,12,240,Accra,270
587,30/12/2023,C,9,180,Malllam,434
588,10/11/2023,D,18,360,East-Legon,312
589,4/9/2023,D,18,360,East-Legon,363
590,31/01/2023,D,20,400,East-Legon,307
591,26/08/2023,A,19,380,East-Legon,252
592,21/05/2023,E,16,320,Accra,463
593,1/11/2023,B,16,320,Dansoman,93
594,1/1/2023,D,19,380,Accra,363
595,10/10/2023,C,2,40,Dansoman,43
596,7/12/2023,E,20,400,Accra,132
597,8/9/2023,B,15,300,East-Legon,266
598,18/01/2023,B,8,160,Accra,64
599,27/06/2023,E,10,200,Kaneshie,318
600,14/02/2023,E,2,40,Dansoman,251
